"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,
Population (number of persons) 1/,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
24260,"Grand Island, NE (Metropolitan Statistical Area)",77308,77526,77941,78215,78140,78556,78988,79947,81169,82063,82700,83428,83990,84566,84773,85148
24300,"Grand Junction, CO (Metropolitan Statistical Area)",119496,122440,124994,127678,130194,134665,139434,143155,147851,146486,147172,147471,147372,147502,148401,150083
24340,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",944552,952185,959259,965089,970713,976610,981643,984563,987281,989543,996657,1007358,1018731,1029340,1038337,1047099
24420,"Grants Pass, OR (Metropolitan Statistical Area)",76452,77712,78779,79729,80660,81601,81746,82389,82315,82865,82638,82798,83268,83604,84742,85904
24500,"Great Falls, MT (Metropolitan Statistical Area)",80055,79848,79633,80198,80041,79984,80099,80529,80680,81532,81784,81767,82367,82236,82118,81755
24540,"Greeley, CO (Metropolitan Statistical Area)*",192360,202234,208858,215322,222879,230703,237692,243442,248193,254164,258629,263997,270182,276163,285053,294932
24580,"Green Bay, WI (Metropolitan Statistical Area)",285783,288713,291169,294570,296800,298702,301190,302468,304686,306741,308780,311053,312483,314590,316413,318236
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",652741,657855,663140,667711,677080,689637,700485,711405,718902,725135,730168,735776,741009,746804,751776,756139
24780,"Greenville, NC (Metropolitan Statistical Area)",136605,139128,141610,144486,147929,152934,157479,162116,165581,168825,170756,172913,174332,175105,176182,177220
24860,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",735668,741131,747276,754196,763048,777494,793500,808765,819279,825800,833486,841636,849359,861119,873231,884975
25060,"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",368163,370891,371296,379253,383412,347253,356789,363290,367577,371450,375743,379022,382312,386080,388561,391266
25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",211521,215706,221396,227681,234198,240604,245305,248303,249783,252378,254514,256202,257802,259697,261205,263817
25220,"Hammond, LA (Metropolitan Statistical Area)",101657,102511,103782,105335,106987,114102,116792,118621,120009,121492,122629,123655,125430,127024,128756,130710
25260,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",132881,135369,139393,143601,145147,147712,150420,152027,152278,152368,151895,151042,150480,149669,150331,149785
25420,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",511391,515553,519152,521882,525775,532268,537268,542301,546874,550247,551791,554898,558061,561145,565096,568033
25500,"Harrisonburg, VA (Metropolitan Statistical Area)*",110317,112152,113151,114542,116602,118858,120825,122361,124144,125414,126870,128524,129037,130465,131182,132822
25540,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",1158513,1169000,1179394,1182605,1187929,1193725,1198395,1204436,1209604,1214233,1216375,1214938,1214837,1212571,1209953,1206836
25620,"Hattiesburg, MS (Metropolitan Statistical Area)",125102,126193,127371,128966,130815,134167,137293,139305,141266,143295,145267,146559,147788,148155,148716,149138
25860,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",346952,348299,349472,351224,354159,357492,360791,364003,365639,365520,364584,363784,363378,362652,362883,364187
25940,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",146574,150392,152234,157787,163343,169619,174382,180019,183971,187846,189366,193412,197634,202176,207671,211614
25980,"Hinesville, GA (Metropolitan Statistical Area)",71939,73399,71252,74609,76395,75199,76089,75379,80848,77368,80383,81590,80707,82325,80328,81007
26140,"Homosassa Springs, FL (Metropolitan Statistical Area)",121197,123491,126215,129840,133791,137826,140974,142122,141381,141263,139841,139341,139063,139264,140974,143621
26300,"Hot Springs, AR (Metropolitan Statistical Area)",89032,89630,90483,91084,92096,94077,94753,95636,95840,96123,96617,96794,96986,97183,97154,97477
26380,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",195360,196692,198156,199363,200467,204379,205401,207056,207769,208224,208655,208878,209951,211395,212187,211525
